Localization Key,Description,TitleNote,Note,ContractIntel,EncounterSummary,HaulingSummary,RewardList,ItemRewardList,Cooldown
vaughn_searchbody_space_VH_Desc_001,"It is with deep disappointment that I send this message. A peerless contractor of ours was out on a job, but it seems like the target may have gotten the better of them.\n\nI need you to travel to <EM4>[LOCATION]</EM4> and see if our contractor, <EM4>[TARGET]</EM4>, is truly gone.\n\nI suspect that the location will be somewhat chaotic since there will most likely still be multiple threats on site. Therefore, a supporting crew is strongly advised.\n\nSincerely,\n\nVaughn",,,"Reward: 81,250 aUEC\nTime Limit: 15 min\nEfficiency: 5,417 aUEC/min\nRequires: Veteran Contractor",Encounter: 5 ships,,,,
headhunters_ChainElimAll_1C_AttackCFP_E_title_001,A little retaliation, <EM4>[BP]</EM4>,,,,,,,
headhunters_ChainElimAll_1C_AttackCFP_E_desc_001,"Been getting word that CFP security have been getting a little more aggressive and started pushing people out of the homes they've built out of the scrap in the system and they want payback, so they came to us.\n\nHead out to [LOCATION] and clear out the CFP there. Should be pretty cut and dry with a nice payday.\n\nStows out.",,[BP Reward],"Reward: 132,750 aUEC\nTime Limit: 30 min\nEfficiency: 4,425 aUEC/min\nRequires: Sr. Contractor",,,"100% chance — 1 of 8\n- Atzkav Sniper Rifle\n- Atzkav ""Igniter"" Sniper Rifle\n- Atzkav ""Mirage"" Sniper Rifle\n- Calico Arms Tactical\n- Calico Core Tactical\n- Calico Legs Tactical\n- Calico Helmet Tactical\n- Atzkav Sniper Rifle Battery (8 cap)",,
vaughn_assassination_title_VE,A Simple Task,,,,,,,,
vaughn_assassination_VE_desc_001,"I have a new assignment for you.\n\nDispatch [TARGET]. You should be able to find them at [LOCATION]. \n\nI do not expect them to put up much of a struggle. At least not a formidable one.\n\nSincerely,\nVaughn",,,"Reward: 29,250 aUEC\nTime Limit: 13 min\nEfficiency: 2,250 aUEC/min\nRequires: Assassin In Training",Encounter: 2 ships\nTarget: 1 ship(s)\nReinforcements: 1 ship(s),,,,
Headhunters_eliminateall_caves_title_01,A Swift Reprisal, <EM4>[BP]</EM4>,,,,,,,
Headhunters_eliminateall_caves_desc_01,"Hey,\n\nSome two-bit thugs are holed up in [LOCATION]. Wouldn’t pay them any mind, except the arrogant skags tried to hit an outpost under our protection.\n\nWe chased 'em off with little trouble, but we can't let that kind of disrespect go unpunished. Our Clips are busy with some bigger fish, so we'd like you to take care of this for us. \n\nStows out.",,[BP Reward],"Reward: 42,000 aUEC\nTime Limit: 12 min\nEfficiency: 3,500 aUEC/min\nRequires: Neutral",,,"100% chance — 1 of 8\n- Atzkav Sniper Rifle\n- Atzkav ""Igniter"" Sniper Rifle\n- Atzkav ""Mirage"" Sniper Rifle\n- Calico Arms Tactical\n- Calico Core Tactical\n- Calico Legs Tactical\n- Calico Helmet Tactical\n- Atzkav Sniper Rifle Battery (8 cap)",,
vaughn_assassination_title_S,A Troublesome Task,,,,,,,,
vaughn_assassination_S_desc_001,"I fear this is another one of those assignments that will take your full skillset to see to completion.\n\n[TARGET] is aboard a very heavily armed vessel protected by at least two equally armed escorts. They are traveling near [LOCATION].\n\nNot for the faint of heart.\n\nFondly,\nVaughn",,,"Reward: 134,750 aUEC\nTime Limit: 13.1 min\nEfficiency: 10,286 aUEC/min\nRequires: Assassin In Training",Encounter: 4 ships\nTarget: 1 ship(s)\nReinforcements: 3 ship(s),,,,
vaughn_assassination_title_VH,A Very Difficult Task,,,,,,,,
vaughn_assassination_VH_desc_001,"An tricky assignment has just arrived that I think you will be ideally suited for.\n\nExpect to encounter [TARGET] aboard a heavily armed vessel near [LOCATION] and accompanied by some of the most highly-seasoned pilots that can be hired. \n\nDeal with the escorts as you wish. As long as you kill [TARGET], I will be more than satisfied.\n\nRespectfully,\nVaughn",,,"Reward: 95,000 aUEC\nTime Limit: 12.5 min\nEfficiency: 7,600 aUEC/min\nRequires: Assassin In Training",Encounter: 3-4 ships\nTarget: 1 ship(s)\nReinforcements: 2-3 ship(s),,,,
Vaughn_EliminateSpecific_FPS_Rockcracker_title_001,A Well Deserved Break, <EM4>[BP]</EM4>,,,,,,,
Vaughn_EliminateSpecific_FPS_Rockcracker_Maintenance_desc_001,"I've been having a hard time tracking this target down. They're part of a gang known as the Claw Salamanders who tend to be quite itinerate. However, it seems the group has been trying to get an old QV Breaker Station operational again and I think this just may be the chance to take out [TARGET] once and for all. \n\nStart your search at [LOCATION].  These stations can apparently be quiet cavernous at  times so it may take a bit of effort to locate the target once you're on site.\n\nHowever, I have all the confidence in your abilities,\nVaughn",,[BP Reward],"Reward: 38,750 aUEC\nTime Limit: 10 min\nEfficiency: 3,875 aUEC/min\nCooldown: 15 min\nRequires: Jr. Contractor",,,100% chance — 1 of 10\n- R97 Shotgun\n- Monde Arms\n- Monde Core\n- Monde Legs\n- Monde Helmet\n- Monde Arms Hiro\n- Monde Core Hiro\n- Monde Legs Hiro\n- Monde Helmet Hiro\n- R97 Shotgun Magazine (18 cap),,15 min
Vaughn_EliminateSpecific_FPS_Rockcracker_Warehouse_desc_001,"There is a member of the Nyx gang the Claw Salamanders, [TARGET], who has made it on to my naughty list. They had been on the run for quite awhile, but just recently popped back up at an old mining station in the Keeger Belt. Our lucky day shall be their last.  \n\nWord is that you can find them at [LOCATION].  Unfortunately, there is a strong chance you may have to do some repairs to the station itself before you can gain access to that particular area.\n\nBut I'm sure you're more than up to the challenge.\n\nSincerely,\nVaughn",,[BP Reward],"Reward: 38,750 aUEC\nTime Limit: 10 min\nEfficiency: 3,875 aUEC/min\nCooldown: 15 min\nRequires: Neutral",,,100% chance — 1 of 10\n- R97 Shotgun\n- Monde Arms\n- Monde Core\n- Monde Legs\n- Monde Helmet\n- Monde Arms Hiro\n- Monde Core Hiro\n- Monde Legs Hiro\n- Monde Helmet Hiro\n- R97 Shotgun Magazine (18 cap),,15 min
Vaughn_EliminateSpecific_FPS_Rockcracker_Power_desc_001,"A request has made its way to my desk regarding the untimely end of one [TARGET], a member of the Claw Salamander who is currently scuttling around an old QV Breaker Station. \n\nIt is highly likely that you will find them at [LOCATION].  Be mindful though that with a station this large it may take a bit of searching to track them down. \n\nHope you enjoy your time in Nyx,\nVaughn",,[BP Reward],"Reward: 77,500 aUEC\nTime Limit: 20 min\nEfficiency: 3,875 aUEC/min\nCooldown: 15 min\nRequires: Contractor",,,100% chance — 1 of 10\n- R97 Shotgun\n- Monde Arms\n- Monde Core\n- Monde Legs\n- Monde Helmet\n- Monde Arms Hiro\n- Monde Core Hiro\n- Monde Legs Hiro\n- Monde Helmet Hiro\n- R97 Shotgun Magazine (18 cap),,15 min
Adagio_Industrial_Salvage_Universal_Intro_Title_001,Adagio Holdings in Need of Salvagers, <EM4>[BP]</EM4>,,,,,,,
Adagio_Industrial_Salvage_Universal_Intro_Desc_001,"Adagio Holdings\nA Proud Equal Opportunity Employer\n\n> About us <\nAs the leading procurer and distributor of salvage rights, Adagio Holdings are now looking to expand into the acquisition and distribution of salvageable materials to both small and large-scale businesses.\n\n> About the job <\nAs a part of this initiative, we need keen-eyed contractors capable of identifying salvageable materials, efficiently stripping them, and delivering the Recycle Material Composite (RMC) and salvaged components to us.\n\nThis introductory contract will require you to head to <EM4>[LOCATION]</EM4> and strip an abandoned ship approved for salvage.\n\nOnce you've gathered the RMC, you'll deliver it to the freight elevator located at <EM4>[DESTINATION]</EM4>.\n\n> Requirements <\n     - Any class/size of salvage ship\n\nFor advice on salvaging, consult <EM4>A Salvager's Guide to Material Collection</EM4> in your mobiGlas journal.\n\n> Disclaimer <\nContractors are responsible for ensuring that they are collecting materials from vehicles that are considered fair salvage under the pursuant UEE laws. Adagio Holdings is in no way liable for any crimes or misdemeanors committed by contractors and will offer no compensation or reparation for any persons affected by these actions.",,[BP Reward],"Reward: 45,000 aUEC\nTime Limit: 15 min\nEfficiency: 3,000 aUEC/min\nRequires: Neutral",Encounter: 1 ships\nSalvage Target: 1 ship(s),Order: 1 SCU Recycled Material Composite,100% chance — 1 of 5\n- Trawler Scraper Module\n- Abrade Scraper Module\n- Cinch Scraper Module\n- Cinch Scraper Module\n- Cinch Scraper Module,,
RAIN_collectresources_multiple_GEN_name_01,Additional Resources For Research, <EM4>[BP]</EM4>,,,,,,,
RAIN_collectresources_multiple_GEN_desc_01,"To all available contractors,\n\nRayari scientists are hard at work trying to solve the issues with failing regen tech. Currently, their efforts are hindered by a lack of materials which they believe could be essential for their experiments.  \n\nIn particular, our scientists at <EM4>[DESTINATION]</EM4> have had to put their work on hold after running out of those resources. With a restock from our normal provider not possible for months owing to short supply, we’ll pay a premium to anyone who can assist with restocking the materials.\n\nFor more information on the animals in question, refer to ""Explorer's Guide to Harvestables"" in your Journal.\n\nTogether we can make the universe better for all.\n\nNarina Lerrem\nSenior Manager\nClinical Research Outsourcing",,[BP Reward],"Reward: 233,250 aUEC\nTime Limit: 23 min\nEfficiency: 10,141 aUEC/min\nRequires: Sr. Contractor",,Order: Yormandi Eye,25% chance — 1 of 10\n- P8-AR Rifle\n- Palatino Arms\n- Palatino Core\n- Palatino Legs\n- Palatino Helmet\n- Palatino Arms Moonfall\n- Palatino Core Moonfall\n- Palatino Legs Moonfall\n- Palatino Helmet Moonfall\n- P8-AR Rifle Magazine (15 Cap),,
BHG_Certification_VeryHard_Title,Advanced Tracker License Certification, <EM4>[BP Chain]</EM4>,,,,,,,
BHG_Certification_VeryHard_Desc,"--------------------------------------------------------\n----------------- BOUNTY CONTRACT -----------------\n--------------------------------------------------------\n\nBOUNTY HUNTERS GUILD\nPROCESSING & DISTRIBUTION\n\nThe Bounty Hunters Guild has authorized an official bounty.\n\nNAME: [TARGET] \nSYSTEM: [SYSTEM] \nRISK ASSESSMENT: Very High\nLAST KNOWN LOCATION: [LOCATION]\nKNOWN AFFILIATIONS: <None>\nNOTES: With your proven track record, the Bounty Hunters Guild would like to offer you the chance to earn an Advanced Tracker License.\n\nThis license would signify that you are qualified to track and apprehend Very High-Risk Targets (VHRT). These criminals can travel in larger multicrew ships with heavy escorts. With multiple hostiles to deal with, encounters with these targets can often be lethal.\n\nTo successfully complete this certification process, you must apprehend a VHRT ranked criminal by the name of <EM4>[TARGET]</EM4> last seen at <EM4>[LOCATION]</EM4>.\n\nBOUNTY HUNTERS GUILD\nIn Pursuit of Justice\n\nThe Bounty Hunters Guild is a security service sanctioned by the Mercenary Guild and authorized to operate in both the UEE and beyond in accordance with Xenotrade Authority Acts.",,[BP Chain],"Reward: 91,000 aUEC\nTime Limit: 12 min\nEfficiency: 7,583 aUEC/min\nCooldown: 15 min\nBuy-in: 10,000 aUEC\nNet Reward: 81,000 aUEC\nRequires: Veteran Guild Member",Encounter: 6-8 ships\nTarget: 1 ship(s)\nHostiles: 5-7 ship(s),,,,15 min
cfp_ChainElimAll_1C_ElimSpec_GenAttack_E_title_001,Alert: [LOCATION] under attack, <EM4>[BP]</EM4>,,,,,,,
cfp_ChainElimAll_1C_ElimSpec_GenAttack_E_desc_001,"We need any available security personnel to report to [LOCATION]. A group of armed individuals have attacked one of our outpost clusters and we're in desperate need of help. Although the group seems to be unaffiliated with any of the known gangs, we've received word that their leader is [TARGET], a local outlaw with a vicious reputation.\n\nPlease head out as soon as you can and secure the area by taking out the outlaws and [TARGET].\n\nLima Endicott\nLead Dispatcher\nCitizens for Prosperity",,[BP Reward],"Reward: 77,500 aUEC\nTime Limit: 20 min\nEfficiency: 3,875 aUEC/min\nCooldown: 45 min\nRequires: Sr. Contractor",,,"100% chance — 1 of 6\n- Karna ""Brimstone"" Rifle\n- Artimex Core Lodestone\n- Artimex Arms Lodestone\n- Artimex Legs Lodestone\n- Artimex Helmet Lodestone\n- Karna Rifle Battery (35 cap)",,45 min
vaughn_assassination_FPS_UGF_illegal_title_001,All Things Come To An End, <EM4>[BP]</EM4>,,,,,,,
vaughn_assassination_FPS_UGF_illegal_boss_desc_001,"I am not sure if you’re acquainted with [LOCATION], but [TARGET] is the one who calls the shots there. I need them eliminated.\n\nThat is easier said then done, I'm afraid. They are notoriously reluctant to see to matters personally, preferring their underlings to handle the dirty work. That said, eliminate enough of the underlings and they will have no choice but to deal with you themselves.\n\nEarnestly,\nVaughn",,[BP Reward],"Reward: 84,250 aUEC\nTime Limit: 19.6 min\nEfficiency: 4,298 aUEC/min\nCooldown: 15 min\nRequires: Elite Assassin",,,100% chance — 1 of 11\n- Pulverizer LMG\n- Tripledown Pistol\n- Citadel Arms Base\n- Citadel Legs Base\n- Citadel Core Base\n- Fortifier Helmet Base\n- Carnifex Armor Core\n- Carnifex Armor Legs\n- Carnifex Armor Legs\n- Pulverizer LMG Magazine (120 Cap)\n- Tripledown Pistol Magazine (12 Cap),,15 min
vaughn_assassination_FPS_UGF_illegal_desc_001,"They say there is no honor among thieves. Today, it seems, you're targeting one of your own. \n\nPlease head to [LOCATION] and kill [TARGET]. What you do with the others there is entirely up to you.\n\nEarnestly,\nVaughn",,[BP Reward],"Reward: 63,500 aUEC\nTime Limit: 17.5 min\nEfficiency: 3,629 aUEC/min\nCooldown: 15 min\nRequires: Low Level Assassin",,,100% chance — 1 of 12\n- Killshot Rifle\n- Deadrig Shotgun\n- Overlord Arms Supernova\n- Overlord Core Supernova\n- Overlord Legs Supernova\n- Overlord Helmet Supernova\n- Piecemeal Armor Arms\n- Piecemeal Armor Core\n- Piecemeal Armor Legs\n- Badami Helmet\n- Killshot Rifle Magazine (45 Cap)\n- Deadrig Shotgun Magazine (8 cap),,15 min
CleanAir_RecoverCargo_Easy_title,Alliance Aid: Attempted Cargo Theft,,,,,,,,
CleanAir_RecoverCargo_Easy_desc,"ECKHART SECURITY, LLC.\nCONTRACTS & DISPATCH\n\nCONTRACT TYPE: Cargo Retrieval \nAPPROVAL CODE = JJ-11\n\nFOR IMMEDIATE PROCESSING\n\nWith all these Alliance Aid ships hauling valuable cargo around, outlaws in the area have gone into a feeding frenzy. We just got word of one of their latest targets via emergency beacon and need you to go over to the <EM4>[LOCATION]</EM4>, assess the situation, <EM4>neutralize any remaining hostiles</EM4> in the area, and if needed, secure the shipment for delivery to <EM4>[DESTINATION]</EM4>.\n\nBe sure to bring a <EM4>handheld tractor beam</EM4> to handle the cargo. \n\nThis contract is non-negotiable.\n\nThis message may contain confidential, proprietary, privileged and/or private information. The information is intended to be for the use of the individual or entity designated above.",,,"Reward: 61,250 aUEC\nTime Limit: 20 min\nEfficiency: 3,063 aUEC/min",Encounter: 3 ships\nHostiles: 2 ship(s),,,,
CleanAir_ResourceGathering_Bulk_Filters_title,Alliance Aid: Collect Manufacturing Resource - Large Scale,,,,,,,,
CleanAir_ResourceGathering_Bulk_Filters_desc,"POSTING: Resource Gathering \nLOCATION: Pyro System, Stanton System\nWORK EXPERIENCE: Mining, Commodity Trading\nTERMS*: \nShubin Interstellar is stepping up to help stop the spread of the People’s Ailment. Our facilities are helping in the efforts to produce much needed ventilation filters to replace the faulty ones responsible for the spread of the dangerous Molina Mold, but we need your help to hit that ambitious goal. \n\nOur current stockpiles of an important resource are not sufficient enough, so we need contractors who can deliver a large-scale haul of it to <EM4>[DESTINATION]</EM4>.\n\nResources tied to another contract will not be accepted.   \n\n*Shubin Interstellar is an equal opportunity contractor. By accepting this contract you are assuming any and all risks associated with the work outlined herein and in no way can Shubin Interstellar be held accountable for any damages accrued during the duration of the contract.",,,"Reward: 3,001,750 aUEC\nTime Limit: 392.7 min\nEfficiency: 7,644 aUEC/min",,Order: 85 SCU Laranite,,,
CleanAir_ResourceGathering_Supply_Filters_title,Alliance Aid: Collect Manufacturing Resource - Medium Scale,,,,,,,,
CleanAir_ResourceGathering_Supply_Filters_desc,"POSTING: Resource Gathering \nLOCATION: Pyro System, Stanton System\nWORK EXPERIENCE: Mining, Commodity Trading\nTERMS*: \nShubin Interstellar is switching a sizable portion of our focus to assist in the production of ventilation filters to help stop the spread of Molina Mold. Even though we have the capacity and desire to help, our access to one resource is hampering our efforts.\n\nWe’re looking for motivated individuals willing to procure and deliver a medium scale supply of it to our facility at <EM4>[DESTINATION]</EM4> so relief efforts can continue humming along.\n\nResources tied to another contract will not be accepted.\n\n*Shubin Interstellar is an equal opportunity contractor. By accepting this contract you are assuming any and all risks associated with the work outlined herein and in no way can Shubin Interstellar be held accountable for any damages accrued during the duration of the contract.",,,"Reward: 1,027,000 aUEC\nTime Limit: 154.4 min\nEfficiency: 6,652 aUEC/min",,Order: 30 SCU Laranite,,,
CleanAir_ResourceGathering_Small_Filters_title,Alliance Aid: Collect Manufacturing Resource - Small Scale,,,,,,,,
CleanAir_ResourceGathering_Small_Filters_desc,"POSTING: Resource Gathering \nLOCATION: Pyro System, Stanton System\nWORK EXPERIENCE: Mining, Commodity Trading\nTERMS*: \nAs a member of Alliance Aid, Shubin Interstellar is dedicated to assisting in the production of as many high quality ventilation filters as possible. These filters are key to stopping the spread of Molina Mold and keeping more people from being stricken with the People’s Ailment. \n\nWe’ve just received word from our facility at <EM4>[DESTINATION]</EM4> that their stockpile of a vital resource is getting low. Our normal supplier won’t be able to do a resupply run for a while, so we’re hoping you might be able to do a small scale run of it now to bridge the gap. \n \nIf you’re available, simply acquire it as you see best and bring it to our facility, and we’ll compensate you well.\n\nResources tied to another contract will not be accepted.\n\n*Shubin Interstellar is an equal opportunity contractor. By accepting this contract you are assuming any and all risks associated with the work outlined herein and in no way can Shubin Interstellar be held accountable for any damages accrued during the duration of the contract.",,,"Reward: 126,250 aUEC\nTime Limit: 21.8 min\nEfficiency: 5,791 aUEC/min",,Order: 4 SCU Laranite,,,
CleanAir_Courier_title,Alliance Aid: Courier Needed,,,,,,,,
